ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm113759,13.48,42.23,9.3,386.0,EU,C,NF,153.0,POINT (13.48 42.23)
wsm114500,13.36,42.45,14.2,406.0,EU,C,NF,134.0,POINT (13.36 42.45)
wsm114745,13.38,42.34,10.8,395.0,EU,C,NF,151.0,POINT (13.38 42.34)
wsm115656,13.41,43.47,32.6,515.0,EU,C,SS,154.0,POINT (13.41 43.47)
wsm117151,13.38,43.11,31.0,476.0,EU,C,NS,97.0,POINT (13.38 43.11)
wsm118506,12.44,43.56,10.0,507.0,EU,C,NF,113.0,POINT (12.44 43.56)
wsm120224,12.61,42.81,10.0,428.0,EU,C,NF,176.0,POINT (12.61 42.81)
wsm120299,12.11,44.36,22.2,591.0,EU,C,TF,86.0,POINT (12.11 44.36)
wsm120877,12.37,44.14,23.3,570.0,EU,C,SS,148.0,POINT (12.37 44.14)
wsm128220,12.03,43.86,8.8,535.0,EU,C,NF,115.0,POINT (12.03 43.86)
wsm129876,11.86,43.92,10.0,541.0,EU,C,NF,123.0,POINT (11.86 43.92)
wsm129877,11.85,43.92,10.0,540.0,EU,C,NF,119.0,POINT (11.85 43.92)
wsm129896,11.86,43.93,10.0,542.0,EU,C,NF,122.0,POINT (11.86 43.93)
wsm134393,10.36,44.82,29.8,643.0,EU,C,NF,93.0,POINT (10.36 44.82)
wsm135516,13.2,42.81,10.0,440.0,EU,C,NF,124.0,POINT (13.2 42.81)
wsm136940,11.26,44.9,6.2,648.0,EU,C,TF,11.0,POINT (11.26 44.9)
wsm136948,11.44,44.89,12.0,647.0,EU,C,TF,19.0,POINT (11.44 44.89)
wsm136951,11.32,44.95,12.0,654.0,EU,C,TF,35.0,POINT (11.32 44.95)
wsm136970,11.49,44.81,12.0,638.0,EU,C,TF,27.0,POINT (11.49 44.81)
wsm137168,11.15,44.92,12.0,650.0,EU,C,TF,14.0,POINT (11.15 44.92)
wsm137172,11.02,44.9,12.0,649.0,EU,C,TF,17.0,POINT (11.02 44.9)
wsm137173,10.95,44.84,12.0,642.0,EU,C,TF,16.0,POINT (10.95 44.84)
wsm137318,12.23,44.41,21.2,598.0,EU,C,TF,161.0,POINT (12.23 44.41)
wsm141788,10.49,44.17,22.2,570.0,EU,C,SS,110.0,POINT (10.49 44.17)
wsm143580,12.3,43.45,7.7,493.0,EU,C,NF,118.0,POINT (12.3 43.45)
wsm144225,13.86,43.53,11.8,533.0,EU,C,TF,51.0,POINT (13.86 43.53)
wsm144249,11.05,44.28,20.3,580.0,EU,C,TF,165.0,POINT (11.05 44.28)
wsm144308,10.71,44.42,28.5,596.0,EU,C,TF,18.0,POINT (10.71 44.42)
wsm144331,10.17,44.1,12.0,565.0,EU,C,NF,99.0,POINT (10.17 44.1)
wsm144334,10.15,44.16,12.4,572.0,EU,C,NF,120.0,POINT (10.15 44.16)
wsm144335,10.13,44.18,9.1,575.0,EU,C,NF,123.0,POINT (10.13 44.18)
wsm144336,10.15,44.16,10.0,572.0,EU,C,NS,83.0,POINT (10.15 44.16)
wsm144338,10.15,44.16,9.4,572.0,EU,C,NF,96.0,POINT (10.15 44.16)
wsm144358,10.17,44.16,6.8,572.0,EU,C,NS,65.0,POINT (10.17 44.16)
wsm144360,10.18,44.19,10.0,575.0,EU,C,NF,106.0,POINT (10.18 44.19)
wsm144441,10.05,44.08,13.8,565.0,EU,C,NF,101.0,POINT (10.05 44.08)
wsm144445,10.19,44.18,6.8,574.0,EU,C,NF,77.0,POINT (10.19 44.18)
wsm144575,10.17,44.15,6.1,571.0,EU,C,NF,82.0,POINT (10.17 44.15)
wsm144623,12.03,43.81,8.0,530.0,EU,C,NF,152.0,POINT (12.03 43.81)
wsm144794,13.68,43.48,12.0,523.0,EU,C,TF,39.0,POINT (13.68 43.48)
wsm144796,13.82,43.46,18.7,525.0,EU,C,TF,29.0,POINT (13.82 43.46)
wsm145208,10.19,44.18,9.3,574.0,EU,C,NF,75.0,POINT (10.19 44.18)
wsm145326,13.76,43.53,10.5,530.0,EU,C,TF,52.0,POINT (13.76 43.53)
wsm145398,12.54,43.37,8.3,488.0,EU,C,NF,140.0,POINT (12.54 43.37)
wsm146263,10.26,43.68,10.5,518.0,EU,C,NS,144.0,POINT (10.26 43.68)
wsm146918,13.21,42.63,10.0,421.0,EU,C,NF,159.0,POINT (13.21 42.63)
wsm147046,13.48,42.46,16.2,411.0,EU,C,SS,135.0,POINT (13.48 42.46)
wsm147202,12.53,43.37,6.4,488.0,EU,C,NF,150.0,POINT (12.53 43.37)
wsm147253,12.52,43.38,4.0,489.0,EU,C,NF,165.0,POINT (12.52 43.38)
wsm147318,12.52,43.39,7.9,490.0,EU,C,NF,130.0,POINT (12.52 43.39)
wsm147359,14.51,41.33,12.5,285.0,EU,C,NF,141.0,POINT (14.51 41.33)
wsm147361,14.44,41.38,20.6,291.0,EU,C,NF,131.0,POINT (14.44 41.38)
wsm147489,12.51,43.37,5.5,487.0,EU,C,NF,162.0,POINT (12.51 43.37)
wsm147672,14.36,41.51,11.3,306.0,EU,C,NF,115.0,POINT (14.36 41.51)
wsm147673,14.45,41.36,18.0,289.0,EU,C,NF,157.0,POINT (14.45 41.36)
wsm147707,15.14,40.44,6.1,194.0,EU,C,NS,11.0,POINT (15.14 40.44)
